,/data/test_data/秘密保持契約書 (6).docx,/data/test_data/B-9104_秘密保持契約書(ver.2.0.docx,/data/test_data/秘密保持契約書 (2).docx,/data/test_data/秘密保持契約書 (7).docx,/data/test_data/B-9105_秘密保持契約書(ver.2.0.docx,/data/test_data/秘密保持契約書 (5).docx,/data/test_data/秘密保持契約書 (3).docx,/data/test_data/秘密保持契約書 (14).docx,/data/test_data/B-9106_秘密保持契約書(ver.2.0.docx,/data/test_data/秘密保持契約書 (8).docx,/data/test_data/秘密保持契約書 (11).doc,/data/test_data/秘密保持契約書 (9).doc,/data/test_data/秘密保持契約書 (10).doc,/data/test_data/B-9109_秘密保持契約書.doc,/data/test_data/秘密保持契約書 (17).doc,/data/test_data/秘密保持契約書 (21).doc,/data/test_data/秘密保持契約書 (20).doc,/data/test_data/秘密保持契約書 (16).doc,/data/test_data/B-9108_秘密保持契約書.doc,/data/test_data/秘密保持契約書 (15).doc,/data/test_data/B-9107_秘密保持契約書_B型.doc,/data/test_data/秘密保持契約書 (19).doc,/data/test_data/B-9101_秘密保持契約書_B型.doc,/data/test_data/秘密保持契約書 (1).doc,/data/test_data/秘密保持契約書 (13).doc,/data/test_data/秘密保持契約書 (12).doc,/data/test_data/B-9102_秘密保持契約書.doc,/data/test_data/B-9103_秘密保持契約書(ルビのフリ方が変則_B型.pdf
/data/teach_data/秘密保持契約書 (6).docx,0.9736600518226624,0.8619824051856995,0.852186381816864,0.8655072450637817,0.860596776008606,0.824232280254364,0.7682350277900696,0.6687034368515015,0.8621286749839783,0.6754043102264404,0.806629478931427,0.5183382034301758,0.8316439390182495,0.81602543592453,0.504316508769989,0.8660217523574829,0.8293302655220032,0.7348858118057251,0.5085682272911072,0.6938601732254028,0.865062415599823,0.6461413502693176,0.7955343723297119,0.6584791541099548,0.8248169422149658,0.8559354543685913,0.817253589630127,0.8691679835319519
/data/teach_data/秘密保持契約書 (2).docx,0.8348442912101746,0.816925585269928,0.9529097080230713,0.8141342401504517,0.8170714974403381,0.7760543823242188,0.764055609703064,0.7275183796882629,0.8021103739738464,0.7061272859573364,0.8021766543388367,0.6183558702468872,0.835392415523529,0.8302755355834961,0.5193173289299011,0.8344088792800903,0.8040145039558411,0.7280512452125549,0.5830492377281189,0.7408309578895569,0.767892599105835,0.6793657541275024,0.7992775440216064,0.8229661583900452,0.8258298635482788,0.8611965179443359,0.834002673625946,0.8491894006729126
/data/teach_data/秘密保持契約書 (7).docx,0.8767747282981873,0.8554726839065552,0.874771237373352,0.9655107855796814,0.8680347800254822,0.8793210983276367,0.7866085171699524,0.6965075731277466,0.8454080820083618,0.7177074551582336,0.8767025470733643,0.6714308261871338,0.8498789072036743,0.846372663974762,0.5105730295181274,0.828913688659668,0.8683657646179199,0.693316638469696,0.43750637769699097,0.6748455762863159,0.9106448292732239,0.6462880373001099,0.7695139646530151,0.7430868744850159,0.8610266447067261,0.8979311585426331,0.8424422740936279,0.847802460193634
/data/teach_data/秘密保持契約書 (5).docx,0.8339407444000244,0.8688403367996216,0.8273389935493469,0.8360902070999146,0.8822486996650696,0.9654368162155151,0.7316184639930725,0.5953197479248047,0.8449224233627319,0.5943781733512878,0.8153485059738159,0.6478366255760193,0.8034718632698059,0.7780059576034546,0.5000161528587341,0.8694578409194946,0.7823556065559387,0.6920133233070374,0.46938860416412354,0.7075724005699158,0.8084254264831543,0.531989336013794,0.7488754391670227,0.6976999640464783,0.8361976146697998,0.8308090567588806,0.8030095100402832,0.8721321821212769
/data/teach_data/秘密保持契約書 (3).docx,0.7287769913673401,0.7102732062339783,0.7580018639564514,0.7519101500511169,0.7405136227607727,0.7377560138702393,0.9614438414573669,0.9116097688674927,0.7182157039642334,0.9249716997146606,0.7727407217025757,0.5025202035903931,0.8004817366600037,0.7727657556533813,0.5327463150024414,0.7429991364479065,0.7907193899154663,0.74920254945755,0.6965894103050232,0.6296886205673218,0.7752085328102112,0.6553526520729065,0.8128255605697632,0.5877234935760498,0.7203550338745117,0.8064844608306885,0.7878415584564209,0.8242348432540894
/data/teach_data/秘密保持契約書 (14).docx,0.6939952969551086,0.6424062252044678,0.779446542263031,0.698895275592804,0.713866651058197,0.6586113572120667,0.9110895991325378,0.9656193852424622,0.5775065422058105,0.9578125476837158,0.6656289100646973,0.40833255648612976,0.7175127267837524,0.7244601249694824,0.5842893123626709,0.6893941164016724,0.7200892567634583,0.7701829075813293,0.6906433701515198,0.6071938872337341,0.7193586826324463,0.6227902770042419,0.8085120916366577,0.5959651470184326,0.7520926594734192,0.7503881454467773,0.7544684410095215,0.7510560154914856
/data/teach_data/秘密保持契約書 (8).docx,0.6951582431793213,0.6180481910705566,0.7098073959350586,0.6740894317626953,0.650016725063324,0.6471318602561951,0.9069133996963501,0.9671861529350281,0.6556227207183838,0.9766810536384583,0.6894924640655518,0.45715945959091187,0.7361454963684082,0.7342665791511536,0.5678357481956482,0.7221232652664185,0.6796637773513794,0.7693687081336975,0.7286449074745178,0.5810239911079407,0.6921396255493164,0.6122881174087524,0.7869298458099365,0.6266615390777588,0.7082154750823975,0.7560744881629944,0.7441670298576355,0.751268744468689
/data/teach_data/秘密保持契約書 (11).doc,0.8072172999382019,0.8450700640678406,0.8020345568656921,0.8572014570236206,0.8315936326980591,0.8189874291419983,0.7625769376754761,0.6764166355133057,0.8352771997451782,0.6905516982078552,0.9766216278076172,0.5865783095359802,0.8747437000274658,0.8378652334213257,0.5094104409217834,0.7707222700119019,0.9294601678848267,0.6927691102027893,0.4779997169971466,0.6444475054740906,0.853125274181366,0.5999166369438171,0.682976484298706,0.6715748906135559,0.8108375072479248,0.8492088317871094,0.8766253590583801,0.8094791769981384
/data/teach_data/秘密保持契約書 (9).doc,0.5935724973678589,0.5471993684768677,0.7028729319572449,0.6209290623664856,0.5548156499862671,0.6431469917297363,0.49156951904296875,0.46872785687446594,0.5392716526985168,0.4862082004547119,0.6289950609207153,0.9596602320671082,0.597618043422699,0.5071828961372375,0.5999507904052734,0.5593181848526001,0.5725918412208557,0.4878702461719513,0.4454368054866791,0.7602755427360535,0.5386794209480286,0.5589925050735474,0.5852222442626953,0.7603228092193604,0.544579267501831,0.5706518888473511,0.605498731136322,0.6300384998321533
/data/teach_data/秘密保持契約書 (10).doc,0.810293436050415,0.7288064360618591,0.8333920836448669,0.8256047964096069,0.758690357208252,0.7670590877532959,0.7885929942131042,0.704094409942627,0.7558964490890503,0.7329106330871582,0.8749756217002869,0.6170891523361206,0.967398464679718,0.8002446889877319,0.5089765191078186,0.7883509993553162,0.896472156047821,0.7326035499572754,0.5875993371009827,0.7436173558235168,0.8314685225486755,0.6600682139396667,0.8013777136802673,0.7104705572128296,0.8368658423423767,0.8215868473052979,0.9618369340896606,0.8283520936965942
/data/teach_data/秘密保持契約書 (17).doc,0.49539873003959656,0.5261516571044922,0.5412324666976929,0.5211989283561707,0.5430501699447632,0.4850321114063263,0.5588071942329407,0.551850438117981,0.5110111236572266,0.5787022113800049,0.5235496759414673,0.6003521084785461,0.5828202366828918,0.46606650948524475,0.9440091252326965,0.591688871383667,0.5603578686714172,0.6185844540596008,0.7226728200912476,0.601487398147583,0.44260692596435547,0.5091592669487,0.6761606335639954,0.5527052879333496,0.4689396917819977,0.568920373916626,0.5362601280212402,0.5949586629867554
/data/teach_data/秘密保持契約書 (21).doc,0.8857805132865906,0.8142040967941284,0.8052911758422852,0.8173881769180298,0.8695834279060364,0.8603717088699341,0.7303175330162048,0.7129335403442383,0.8215342164039612,0.7066840529441833,0.7853628396987915,0.557478666305542,0.7713724374771118,0.8138420581817627,0.5508551597595215,0.9787547588348389,0.8014212250709534,0.763343095779419,0.6435060501098633,0.6850372552871704,0.7944492697715759,0.5543075203895569,0.8276154398918152,0.6963554620742798,0.8255501985549927,0.8319091200828552,0.7768939137458801,0.8806659579277039
/data/teach_data/秘密保持契約書 (20).doc,0.8165282011032104,0.8133060932159424,0.8048987984657288,0.8664971590042114,0.8615694642066956,0.7923465967178345,0.7807947993278503,0.7172762155532837,0.8334693312644958,0.6784480214118958,0.9307844042778015,0.568813145160675,0.8771265745162964,0.8685902953147888,0.512113094329834,0.7843317985534668,0.9811510443687439,0.7603253126144409,0.4828657805919647,0.6292508840560913,0.8741171360015869,0.541969358921051,0.7306838035583496,0.6048545837402344,0.7926271557807922,0.8397016525268555,0.8646602034568787,0.8375467658042908
/data/teach_data/秘密保持契約書 (16).doc,0.7760855555534363,0.7061703205108643,0.7567723989486694,0.6850966811180115,0.6624300479888916,0.6297948956489563,0.7813404202461243,0.7796714305877686,0.7158194184303284,0.7836515307426453,0.7204182744026184,0.5159664750099182,0.7281933426856995,0.7932030558586121,0.5962318778038025,0.8048815131187439,0.7554365396499634,0.9610431790351868,0.7086600661277771,0.6257684826850891,0.7455735206604004,0.6675218343734741,0.7895222902297974,0.5431915521621704,0.6858426928520203,0.7934232354164124,0.728061854839325,0.7528741955757141
/data/teach_data/秘密保持契約書 (15).doc,0.6695253252983093,0.6632308959960938,0.7599675059318542,0.7290756106376648,0.6868283748626709,0.686545729637146,0.5926750302314758,0.6354067325592041,0.6614376902580261,0.6586424708366394,0.7115321159362793,0.7644379734992981,0.7220320701599121,0.6884605288505554,0.6418914198875427,0.701691210269928,0.6580515503883362,0.5675655603408813,0.5703522562980652,0.8344274759292603,0.6377148032188416,0.6815376281738281,0.6495674252510071,0.9414324164390564,0.7291401624679565,0.6791849732398987,0.769538402557373,0.7096186280250549
/data/teach_data/秘密保持契約書 (19).doc,0.581813395023346,0.613158643245697,0.6714031100273132,0.5784562230110168,0.6143028140068054,0.5766173005104065,0.5908087491989136,0.5849010944366455,0.5437361001968384,0.6013157963752747,0.6124310493469238,0.5279708504676819,0.6511092782020569,0.6718657612800598,0.4858831465244293,0.5351252555847168,0.5841448307037354,0.5416547656059265,0.49626103043556213,0.6947519183158875,0.5778138637542725,0.9303334951400757,0.6011634469032288,0.635403037071228,0.6660911440849304,0.5768484473228455,0.6906786561012268,0.5908005237579346
/data/teach_data/秘密保持契約書 (1).doc,0.67952561378479,0.6389809846878052,0.7938157916069031,0.736930251121521,0.6814422607421875,0.6884433627128601,0.6732101440429688,0.6549264788627625,0.6285418272018433,0.5939387083053589,0.6804808378219604,0.7518323063850403,0.7068990468978882,0.7326629161834717,0.6392233371734619,0.6974530816078186,0.6249775290489197,0.5444532036781311,0.5007630586624146,0.9083766341209412,0.6385138034820557,0.6619049310684204,0.709399938583374,0.9322973489761353,0.7710692882537842,0.6636240482330322,0.7263432741165161,0.7441391944885254
/data/teach_data/秘密保持契約書 (13).doc,0.8467321991920471,0.8163569569587708,0.8046459555625916,0.8214194774627686,0.8130477666854858,0.7759525179862976,0.7295435667037964,0.7270126938819885,0.8191651105880737,0.7112327814102173,0.8168774843215942,0.5184899568557739,0.8184773921966553,0.8404837846755981,0.4819484055042267,0.8073602318763733,0.8139291405677795,0.7001394629478455,0.4294481873512268,0.7247328162193298,0.85057532787323,0.6457890868186951,0.747684121131897,0.739314615726471,0.9686010479927063,0.8196275234222412,0.8503754734992981,0.8252822160720825
/data/teach_data/秘密保持契約書 (12).doc,0.8794586062431335,0.8542925119400024,0.8693943023681641,0.8593332171440125,0.8584328889846802,0.8372642397880554,0.817009687423706,0.7501576542854309,0.8162838816642761,0.7473180294036865,0.8189916610717773,0.6030904054641724,0.8217974305152893,0.8732607960700989,0.550409197807312,0.8522073030471802,0.8344706892967224,0.8014789819717407,0.5953660607337952,0.7034525275230408,0.8765793442726135,0.6130488514900208,0.8523783087730408,0.7061034440994263,0.8207647204399109,0.9744813442230225,0.8318507671356201,0.9043782353401184
